,Unnamed: 0,AS,AW,Unnamed: 0.1,date,evening,max,min,morning
0,0.0,0.0,1,0.0,1996-01-01,77.8,19.9,0.6,100.0
1,1.0,4.0,1.5,1.0,1996-01-02,,20.2,2.0,
2,2.0,0.0,1.1,2.0,1996-01-03,87.9,12.1,3.2,95.7
3,3.0,1.2,0.6,3.0,1996-01-04,73.7,19.2,5.2,100.0
4,4.0,0.0,1.2,4.0,1996-01-05,82.0,18.7,1.5,100.0
5,5.0,0.0,1.4,5.0,1996-01-06,77.1,19.0,2.8,97.0
6,6.0,0.0,0.4,6.0,1996-01-07,78.4,19.0,3.2,100.0
7,7.0,0.0,1.4,7.0,1996-01-08,73.7,18.1,2.9,100.0
8,8.0,0.0,1.1,8.0,1996-01-09,66.5,19.2,2.7,100.0
9,9.0,0.0,0.8,9.0,1996-01-10,74.4,18.6,1.4,100.0
10,10.0,0.0,1,10.0,1996-01-11,78.4,18.6,2.0,96.9
11,11.0,0.0,1.3,11.0,1996-01-12,76.0,19.2,-0.5,100.0
12,12.0,0.0,1.2,12.0,1996-01-13,77.7,18.2,0.0,98.3
13,13.0,0.0,1.2,13.0,1996-01-14,89.4,19.4,2.6,96.9
14,14.0,0.0,1.6,14.0,1996-01-15,97.2,7.0,2.2,98.5
15,15.0,62.0,-99.9,15.0,1996-01-16,,,,
16,16.0,3.6,0.6,16.0,1996-01-17,75.0,17.5,3.5,93.1
17,17.0,0.0,1.6,17.0,1996-01-18,69.8,19.0,-0.6,98.3
18,18.0,0.0,2,18.0,1996-01-19,76.4,14.7,3.0,92.9
19,19.0,0.0,0.3,19.0,1996-01-20,68.0,19.0,2.5,100.0
20,20.0,0.0,1.7,20.0,1996-01-21,81.9,17.1,4.1,97.0
21,21.0,0.0,1,21.0,1996-01-22,71.4,17.9,1.9,98.5
22,22.0,0.0,1.4,22.0,1996-01-23,69.1,19.0,2.9,93.8
23,23.0,0.0,1.6,23.0,1996-01-24,60.7,20.0,0.3,98.4
24,24.0,0.0,0.8,24.0,1996-01-25,82.5,18.2,2.4,97.0
25,25.0,0.0,1.3,25.0,1996-01-26,81.4,19.3,5.2,95.9
26,26.0,0.0,1.3,26.0,1996-01-27,63.0,19.0,4.0,97.2
27,27.0,0.0,1.3,27.0,1996-01-28,74.8,22.7,2.0,100.0
28,28.0,0.0,1.3,28.0,1996-01-29,67.3,23.4,3.7,92.8
29,29.0,0.0,1.5,29.0,1996-01-30,66.7,20.1,0.2,98.3
30,30.0,0.0,1.4,30.0,1996-01-31,59.9,19.5,4.6,97.3
31,31.0,0.0,1.3,31.0,1996-02-01,54.7,20.8,3.6,100.0
32,32.0,0.0,1.6,32.0,1996-02-02,63.2,21.0,3.4,98.6
33,33.0,0.0,1.5,33.0,1996-02-03,55.1,20.7,4.4,94.7
34,34.0,0.0,1.2,34.0,1996-02-04,57.1,22.0,2.7,98.5
35,35.0,0.0,1.5,35.0,1996-02-05,70.6,21.7,4.5,100.0
36,36.0,0.0,1.7,36.0,1996-02-06,70.4,19.6,7.6,93.8
37,37.0,0.0,1.3,37.0,1996-02-07,64.2,20.8,6.8,97.4
38,38.0,0.0,1.1,38.0,1996-02-08,66.7,21.0,6.0,98.7
39,39.0,,2.2,39.0,1996-02-09,70.0,20.0,3.4,87.6
40,40.0,0.0,1.4,40.0,1996-02-10,65.0,17.6,8.8,87.8
41,41.0,0.7,2.1,41.0,1996-02-11,78.7,15.0,7.7,96.1
42,42.0,,1.5,42.0,1996-02-12,59.2,21.0,2.4,96.9
43,43.0,0.0,1.5,43.0,1996-02-13,55.9,22.0,1.4,91.0
44,44.0,0.0,1.7,44.0,1996-02-14,60.7,21.6,2.6,100.0
45,45.0,0.0,1.8,45.0,1996-02-15,61.5,20.8,5.3,94.7
46,46.0,0.0,1.4,46.0,1996-02-16,41.4,23.3,2.4,100.0
47,47.0,0.0,1.7,47.0,1996-02-17,47.0,25.1,3.3,94.3
48,48.0,0.0,1.8,48.0,1996-02-18,64.9,21.3,4.0,97.3
49,49.0,0.0,1.8,49.0,1996-02-19,68.8,20.4,6.0,92.7
50,50.0,0.0,2.3,50.0,1996-02-20,59.5,20.3,6.4,92.6
51,51.0,0.0,2.6,51.0,1996-02-21,76.8,19.3,2.9,89.0
52,52.0,0.0,2,52.0,1996-02-22,47.6,22.1,3.7,89.5
53,53.0,0.0,1.9,53.0,1996-02-23,47.1,22.7,3.0,83.5
54,54.0,0.0,1.9,54.0,1996-02-24,57.4,24.1,5.4,83.0
55,55.0,2.2,2.1,55.0,1996-02-25,84.9,22.0,7.3,95.2
56,56.0,5.3,1.8,56.0,1996-02-26,88.7,13.5,8.4,96.3
57,57.0,7.0,1.6,57.0,1996-02-27,63.5,22.2,7.3,96.3
58,58.0,0.0,1.5,58.0,1996-02-28,62.7,24.3,4.0,100.0
59,59.0,0.0,1.9,59.0,1996-02-29,51.8,25.0,4.9,92.4
60,60.0,0.0,3.9,60.0,1996-03-01,62.1,23.7,5.9,88.0
61,61.0,0.0,1.7,61.0,1996-03-02,66.7,23.5,7.8,100.0
62,62.0,0.0,1.5,62.0,1996-03-03,63.8,23.0,9.6,97.7
63,63.0,1.8,2.6,63.0,1996-03-04,63.0,20.0,8.3,85.9
64,64.0,0.1,2.6,64.0,1996-03-05,58.8,25.3,6.8,90.4
65,65.0,0.0,0.3,65.0,1996-03-06,63.2,25.2,6.9,78.0
66,66.0,0.0,2.6,66.0,1996-03-07,68.7,23.9,8.9,87.5
67,67.0,,2.5,67.0,1996-03-08,59.1,24.6,7.4,80.1
68,68.0,0.0,2.5,68.0,1996-03-09,61.1,24.5,7.4,68.4
69,69.0,0.0,2.6,69.0,1996-03-10,64.3,23.6,11.8,89.3
70,70.0,0.0,2.3,70.0,1996-03-11,65.2,25.2,11.8,71.8
71,71.0,0.0,3.4,71.0,1996-03-12,70.5,24.8,13.9,77.8
72,72.0,,2.2,72.0,1996-03-13,47.1,27.2,12.1,80.1
73,73.0,0.0,2.8,73.0,1996-03-14,70.3,26.8,10.8,87.3
74,74.0,0.0,2.4,74.0,1996-03-15,42.8,28.4,11.0,97.9
75,75.0,0.0,2.7,75.0,1996-03-16,39.4,29.3,10.8,87.5
76,76.0,0.0,3,76.0,1996-03-17,37.3,28.6,11.2,60.0
77,77.0,0.0,2,77.0,1996-03-18,30.3,28.8,11.2,67.5
78,78.0,0.0,3.1,78.0,1996-03-19,23.0,27.5,8.6,57.3
79,79.0,0.0,2.5,79.0,1996-03-20,28.2,27.7,7.0,50.2
80,80.0,0.0,2.5,80.0,1996-03-21,25.3,29.1,6.0,63.6
81,81.0,0.0,1.7,81.0,1996-03-22,53.1,22.9,11.9,64.6
82,82.0,,1.8,82.0,1996-03-23,43.6,26.2,7.3,60.3
83,83.0,0.0,2.2,83.0,1996-03-24,56.9,26.1,10.0,61.2
84,84.0,0.0,3.1,84.0,1996-03-25,56.5,26.1,8.3,60.6
85,85.0,0.2,1.6,85.0,1996-03-26,70.7,19.1,12.3,86.1
86,86.0,0.4,2.1,86.0,1996-03-27,64.7,27.0,9.2,83.0
87,87.0,0.0,2.9,87.0,1996-03-28,68.1,25.3,14.7,74.7
88,88.0,0.0,1.6,88.0,1996-03-29,43.1,28.9,11.7,82.5
89,89.0,,2.5,89.0,1996-03-30,34.7,29.4,12.0,66.2
90,90.0,4.6,2.3,90.0,1996-03-31,56.0,27.6,8.8,79.3
91,91.0,0.0,2.5,91.0,1996-04-01,58.1,25.8,6.3,49.8
92,92.0,0.0,2.9,92.0,1996-04-02,30.5,25.6,5.9,66.2
93,93.0,0.0,2.6,93.0,1996-04-03,55.3,25.2,7.2,57.5
94,94.0,0.0,3.3,94.0,1996-04-04,41.6,26.9,7.1,72.6
95,95.0,0.0,1.9,95.0,1996-04-05,69.1,28.4,8.1,60.2
96,96.0,0.0,1.9,96.0,1996-04-06,23.7,29.2,9.6,65.4
97,97.0,0.0,2.4,97.0,1996-04-07,29.1,31.1,9.3,56.9
98,98.0,0.8,3.2,98.0,1996-04-08,13.1,29.8,8.1,82.0
99,99.0,0.0,2.7,99.0,1996-04-09,27.8,30.1,9.0,49.9
100,100.0,0.0,2.6,100.0,1996-04-10,27.9,29.4,7.0,51.7
101,101.0,0.0,1.8,101.0,1996-04-11,30.9,29.0,7.2,59.1
102,102.0,0.0,2.3,102.0,1996-04-12,17.5,30.2,6.7,56.5
103,103.0,0.0,1.7,103.0,1996-04-13,26.9,28.6,9.0,54.9
104,104.0,0.0,2.7,104.0,1996-04-14,33.9,30.5,9.8,62.0
105,105.0,0.0,1.5,105.0,1996-04-15,20.0,31.5,9.9,51.2
106,106.0,0.0,2,106.0,1996-04-16,35.8,31.0,13.2,49.5
107,107.0,,2.1,107.0,1996-04-17,68.7,29.1,15.5,62.1
108,108.0,26.2,1.7,108.0,1996-04-18,40.1,30.1,10.2,70.5
109,109.0,0.0,1.3,109.0,1996-04-19,38.6,31.5,12.5,63.1
110,110.0,0.0,2.3,110.0,1996-04-20,54.0,32.0,14.2,67.2
111,111.0,0.0,4.2,111.0,1996-04-21,29.4,31.2,13.5,62.5
112,112.0,0.0,1,112.0,1996-04-22,54.4,29.5,12.5,53.0
113,113.0,3.1,0.5,113.0,1996-04-23,42.9,29.9,11.0,56.5
114,114.0,0.0,2,114.0,1996-04-24,56.6,24.0,10.4,67.2
115,115.0,11.8,2.2,115.0,1996-04-25,91.7,20.1,12.7,83.0
116,116.0,3.6,0.6,116.0,1996-04-26,55.7,25.4,9.4,89.6
117,117.0,0.0,2.8,117.0,1996-04-27,53.0,26.2,14.2,70.0
118,118.0,0.0,3.1,118.0,1996-04-28,61.9,27.2,16.0,60.6
119,119.0,0.6,4,119.0,1996-04-29,56.9,27.3,17.1,79.6
120,120.0,1.3,1.8,120.0,1996-04-30,68.8,27.8,16.6,84.0
121,121.0,10.8,3.2,121.0,1996-05-01,60.2,27.2,15.4,82.4
